ID_PERSONA	TBENE	BASE	PERIODO_BASE	LEY_APLICADA	MONTO	DESC_BENE
5701585	1	111	202304	RI	15000	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5714406	1	111	202304	TI	5000	LEY GENERAL CANCELACION MORATORIAS 24476 CON ACTUALIZACION
5722860	1	111	202304	RI	15000	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5723785	1	111	202304	PP	73621.65	LEY 24241 -PC- PRPA.
5724983	1	111	202304	RI	15000	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5726652	1	111	202304	TE	46654.32	LEY 26970 - PLAN CANCELADO
5726663	1	111	202304	RI	66501.61	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5730039	1	111	202304	RI	55787.75	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5736706	1	111	202304	RI	45868.95	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5738749	1	111	202304	RI	15000	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5740041	1	111	202304	TI	56905.47	LEY GENERAL CANCELACION MORATORIAS 24476 CON ACTUALIZACION
5745169	1	111	202304	RI	47064.84	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5749765	1	111	202304	TI	47456.88	LEY GENERAL CANCELACION MORATORIAS 24476 CON ACTUALIZACION
5750223	1	111	202304	TE	15000	LEY 26970 - PLAN CANCELADO
5750753	1	111	202304	PP	51969.66	LEY 24241 -PC- PRPA.
5751754	1	111	202304	TE	53441.28	LEY 26970 - PLAN CANCELADO
5756570	2	286	202304		77625.23	PENSION DERIVADA
5757098	1	111	202304	RI	15000	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5760765	1	111	202304	TE	43457.07	LEY 26970 - PLAN CANCELADO
5762119	1	111	202304	RI	10856.44	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5763499	1	111	202304	RE	15000	LEY 26970 - MORATORIA
5763603	1	111	202304	RE	45457.51	LEY 26970 - MORATORIA
5771677	1	111	202304	TE	15000	LEY 26970 - PLAN CANCELADO
5773379	1	111	202304	RE	15000	LEY 26970 - MORATORIA
5773463	1	111	202304	RI	55948.42	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5778024	1	111	202304	RI	15000	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5786000	1	111	202304	RI	15000	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5788570	1	111	202304	RI	126272.48	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5791497	1	111	202304	RI	14083.26	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5792645	1	111	202304	TE	15000	LEY 26970 - PLAN CANCELADO
5793071	1	111	202304	PP	15000	LEY 24241 -PC- PRPA.
5793636	1	111	202304	RI	149158	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5794936	1	111	202304	RE	46446.38	LEY 26970 - MORATORIA
5795188	1	111	202304	RI	44160.27	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5798414	1	111	202304	PP	62576.47	LEY 24241 -PC- PRPA.
5799140	1	111	202304	PP	48048.48	LEY 24241 -PC- PRPA.
5801885	1	111	202304	RI	56184.9	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5802091	2	111	202304	PM	15000	LEY 25994 Y MORATORIA 25865
5802988	1	111	202304	RI	15000	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5810820	1	111	202304	PP	162746.42	LEY 24241 -PC- PRPA.
5813182	1	111	202304	PP	65405.47	LEY 24241 -PC- PRPA.
5813346	1	111	202304	RE	15000	LEY 26970 - MORATORIA
5813686	1	111	202304	RE	15000	LEY 26970 - MORATORIA
5814590	1	111	202304	RI	55820.85	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5815038	1	111	202304	RI	15000	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5816708	1	111	202304	RI	15000	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
